model_name,model_type,window,vector_size,training_time,model_size,vocabulary_size
stemmed_cbow_win2_dim100,cbow,2,100,1.0914640426635742,4.787008285522461,6041
stemmed_skipgram_win2_dim100,skipgram,2,100,1.023958444595337,4.787013053894043,6041
stemmed_cbow_win4_dim100,cbow,4,100,1.0584890842437744,4.787009239196777,6041
stemmed_skipgram_win4_dim100,skipgram,4,100,1.1001620292663574,4.787013053894043,6041
stemmed_cbow_win2_dim300,cbow,2,300,1.1806743144989014,14.004847526550293,6041
stemmed_skipgram_win2_dim300,skipgram,2,300,1.4290506839752197,14.004850387573242,6041
stemmed_cbow_win4_dim300,cbow,4,300,1.2378487586975098,14.004846572875977,6041
stemmed_skipgram_win4_dim300,skipgram,4,300,1.4275219440460205,14.004850387573242,6041
