Model,Rank,Index,Similarity,Text
lemmatized_skipgram_win2_dim300,4,107532,0.8893460035324097,neft 000028094933 irctc c
lemmatized_skipgram_win2_dim300,5,110475,0.8893460035324097,neft 000040875666 irctc c
lemmatized_cbow_win4_dim300,1,31383,0.9873941540718079,vaishnavi ac
lemmatized_cbow_win4_dim300,2,29190,0.9873241186141968,vaishanvi ac
lemmatized_cbow_win4_dim300,3,29152,0.9637401700019836,oasis corporate training
lemmatized_cbow_win4_dim300,4,27545,0.9181285500526428,vaishanvi air conditioner
lemmatized_cbow_win4_dim300,5,107532,0.896751344203949,neft 000028094933 irctc c
lemmatized_skipgram_win4_dim300,1,31383,0.9909893870353699,vaishnavi ac
lemmatized_skipgram_win4_dim300,2,29190,0.9900618195533752,vaishanvi ac
lemmatized_skipgram_win4_dim300,3,29152,0.9737049341201782,oasis corporate training
lemmatized_skipgram_win4_dim300,4,107532,0.8933278918266296,neft 000028094933 irctc c
lemmatized_skipgram_win4_dim300,5,110475,0.8933278918266296,neft 000040875666 irctc c
