Index,Similarity,Text
29152,0.37805249355643844,oasis corporate training
29190,0.37749701250318785,vaishanvi ac
31383,0.37749701250318785,vaishnavi ac
107532,0.3206942590940528,neft 000028094933 irctc c
110475,0.3206942590940528,neft 000040875666 irctc c
